Time,
2012-03-17 00:00:00 UTC,45852352.4905166
2012-03-18 00:00:00 UTC,44929797.4995639
2012-03-19 00:00:00 UTC,45438156.2985757
2012-03-20 00:00:00 UTC,40536349.6168499
2012-03-21 00:00:00 UTC,41292830.2663608
2012-03-22 00:00:00 UTC,41556688.384261
2012-03-23 00:00:00 UTC,40243458.2087614
2012-03-24 00:00:00 UTC,40602427.3033627
2012-03-25 00:00:00 UTC,40269918.4340888
2012-03-26 00:00:00 UTC,39508621.5590625
2012-03-27 00:00:00 UTC,39411389.2028254
2012-03-28 00:00:00 UTC,41647411.9099627
2012-03-29 00:00:00 UTC,41263284.4908574
2012-03-30 00:00:00 UTC,41713256.3189048
2012-03-31 00:00:00 UTC,42256302.3480285
2012-04-01 00:00:00 UTC,42628670.5312132
2012-04-02 00:00:00 UTC,41541644.9342761
2012-04-03 00:00:00 UTC,42912060.4094609
2012-04-04 00:00:00 UTC,43113487.9061165
2012-04-05 00:00:00 UTC,42817534.5741973
2012-04-06 00:00:00 UTC,42819334.5458894
2012-04-07 00:00:00 UTC,43204311.1925831
2012-04-08 00:00:00 UTC,40833907.3024385
2012-04-09 00:00:00 UTC,41833464.212932
2012-04-10 00:00:00 UTC,42444173.9208462
2012-04-11 00:00:00 UTC,42403056.6978733
2012-04-12 00:00:00 UTC,43183799.2619506
2012-04-13 00:00:00 UTC,43087259.0336013
2012-04-14 00:00:00 UTC,43700098.8941572
2012-04-15 00:00:00 UTC,43513735.2436364
2012-04-16 00:00:00 UTC,43561031.1051538
2012-04-17 00:00:00 UTC,43594915.3309739
2012-04-18 00:00:00 UTC,44157402.9922254
2012-04-19 00:00:00 UTC,45373235.9972322
2012-04-20 00:00:00 UTC,45485741.8924046
2012-04-21 00:00:00 UTC,47470320.912602
2012-04-22 00:00:00 UTC,46588238.2653351
2012-04-23 00:00:00 UTC,45971122.9563704
2012-04-24 00:00:00 UTC,44263951.9999617
2012-04-25 00:00:00 UTC,45179504.5759999
2012-04-26 00:00:00 UTC,45705192.5575577
2012-04-27 00:00:00 UTC,45200946.676015
2012-04-28 00:00:00 UTC,45257797.9617973
2012-04-29 00:00:00 UTC,43653827.3646564
2012-04-30 00:00:00 UTC,43614571.4049334
2012-05-01 00:00:00 UTC,44012557.5073699
2012-05-02 00:00:00 UTC,45011804.5062119
2012-05-03 00:00:00 UTC,45044461.3167546
2012-05-04 00:00:00 UTC,45869434.5068193
2012-05-05 00:00:00 UTC,45413926.0025879
2012-05-06 00:00:00 UTC,45274287.0990416
2012-05-07 00:00:00 UTC,44796294.7577896
2012-05-08 00:00:00 UTC,45468189.9024619
2012-05-09 00:00:00 UTC,45125091.8959943
2012-05-10 00:00:00 UTC,45324069.7489496
2012-05-11 00:00:00 UTC,43895490.961438
2012-05-12 00:00:00 UTC,44480063.1568919
2012-05-13 00:00:00 UTC,44628692.0442659
2012-05-14 00:00:00 UTC,44472746.8200371
2012-05-15 00:00:00 UTC,45129556.7180552
2012-05-16 00:00:00 UTC,45352836.091248
2012-05-17 00:00:00 UTC,45921380.9738561
2012-05-18 00:00:00 UTC,45958701.8501322
2012-05-19 00:00:00 UTC,46265934.8329265
2012-05-20 00:00:00 UTC,46303162.6764257
2012-05-21 00:00:00 UTC,46130155.7578095
2012-05-22 00:00:00 UTC,46170570.5492607
2012-05-23 00:00:00 UTC,46199097.3857967
2012-05-24 00:00:00 UTC,46377850.7824022
2012-05-25 00:00:00 UTC,46486235.7036964
2012-05-26 00:00:00 UTC,46538571.3330681
2012-05-27 00:00:00 UTC,46421463.5608746
2012-05-28 00:00:00 UTC,46620822.1913437
2012-05-29 00:00:00 UTC,46620252.3543318
2012-05-30 00:00:00 UTC,46697581.4091619
2012-05-31 00:00:00 UTC,46800627.5200073
2012-06-01 00:00:00 UTC,47467895.0899117
2012-06-02 00:00:00 UTC,47998546.6345601
2012-06-03 00:00:00 UTC,47836777.329925
2012-06-04 00:00:00 UTC,47637021.2704993
2012-06-05 00:00:00 UTC,48537658.0424599
2012-06-06 00:00:00 UTC,49837951.3441685
2012-06-07 00:00:00 UTC,50081527.8770769
2012-06-08 00:00:00 UTC,51234849.008484
2012-06-09 00:00:00 UTC,51697549.8364263
2012-06-10 00:00:00 UTC,51019723.9678467
2012-06-11 00:00:00 UTC,50328091.4731487
2012-06-12 00:00:00 UTC,50854676.2579838
2012-06-13 00:00:00 UTC,52737876.1569551
2012-06-14 00:00:00 UTC,54600515.6465251
2012-06-15 00:00:00 UTC,54659350.9775477
2012-06-16 00:00:00 UTC,59149377.8538728
2012-06-17 00:00:00 UTC,59559470.3754027
2012-06-18 00:00:00 UTC,56947618.3897967
2012-06-19 00:00:00 UTC,58339863.7046608
2012-06-20 00:00:00 UTC,60236354.7903105
2012-06-21 00:00:00 UTC,62310127.2324794
2012-06-22 00:00:00 UTC,61895038.3164599
2012-06-23 00:00:00 UTC,61042681.5736127
2012-06-24 00:00:00 UTC,59820606.416
2012-06-25 00:00:00 UTC,59087380.2424992
2012-06-26 00:00:00 UTC,58619315.0834495
2012-06-27 00:00:00 UTC,59902282.9266039
2012-06-28 00:00:00 UTC,61535933.1283953
2012-06-29 00:00:00 UTC,61565727.4597222
2012-06-30 00:00:00 UTC,61778172.769457
2012-07-01 00:00:00 UTC,62383515.8899917
2012-07-02 00:00:00 UTC,62058462.9621507
2012-07-03 00:00:00 UTC,63021602.1316927
2012-07-04 00:00:00 UTC,60786704.2626908
2012-07-05 00:00:00 UTC,61058469.6072361
2012-07-06 00:00:00 UTC,62334405.7270714
2012-07-07 00:00:00 UTC,62907194.260673
2012-07-08 00:00:00 UTC,63507279.8258666
2012-07-09 00:00:00 UTC,64089595.6764595
2012-07-10 00:00:00 UTC,66435923.9844079
2012-07-11 00:00:00 UTC,67868531.9682652
2012-07-12 00:00:00 UTC,67763297.6329096
2012-07-13 00:00:00 UTC,71966612.4326968
2012-07-14 00:00:00 UTC,72189646.6739068
2012-07-15 00:00:00 UTC,71139584.4528368
2012-07-16 00:00:00 UTC,72508065.5241958
2012-07-17 00:00:00 UTC,82242400.8995827
2012-07-18 00:00:00 UTC,84335218.1304912
2012-07-19 00:00:00 UTC,86639905.3712237
2012-07-20 00:00:00 UTC,78461412.3289693
2012-07-21 00:00:00 UTC,78632333.8140344
2012-07-22 00:00:00 UTC,83239551.5628593
2012-07-23 00:00:00 UTC,77169073.2950651
2012-07-24 00:00:00 UTC,81510404.7519626
2012-07-25 00:00:00 UTC,81378440.1905601
2012-07-26 00:00:00 UTC,83137371.0064391
2012-07-27 00:00:00 UTC,85114764.6005944
2012-07-28 00:00:00 UTC,85103506.1890659
2012-07-29 00:00:00 UTC,84598255.7112583
2012-07-30 00:00:00 UTC,83724817.0465971
2012-07-31 00:00:00 UTC,87060375.9080194
2012-08-01 00:00:00 UTC,89492402.2409888
2012-08-02 00:00:00 UTC,91661039.5432
2012-08-03 00:00:00 UTC,101992788.473926
2012-08-04 00:00:00 UTC,102912688.882601
2012-08-05 00:00:00 UTC,101125523.756075
2012-08-06 00:00:00 UTC,103317874.636919
2012-08-07 00:00:00 UTC,103951801.576423
2012-08-08 00:00:00 UTC,107082320.128593
2012-08-09 00:00:00 UTC,106710723.06358
2012-08-10 00:00:00 UTC,107963291.606387
2012-08-11 00:00:00 UTC,110928044.77979
2012-08-12 00:00:00 UTC,111399222.368445
2012-08-13 00:00:00 UTC,113296533.073038
2012-08-14 00:00:00 UTC,116523615.095891
2012-08-15 00:00:00 UTC,118543575.749228
